"","from","to","strength","direction"
"130","G3","S2",0.0822,0.411192214111922
"131","G3","S3",0.0694,0.240634005763689
"132","G3","S4",0.1654,0.498186215235792
"133","G3","S5",0.0592,0.405405405405405
"134","G3","S6",0.0708,0.484463276836158
"135","G3","G1",0.1514,0.510568031704095
"136","G3","G2",0.8716,0.374942634235888
"137","G3","G4",0.9996,0.846738695478191
"138","G3","G5",0.3648,0.70202850877193
"139","G3","G6",0.96,0.499375
"140","G3","G7",0.9234,0.532055447260126
"141","G3","G8",0.4726,0.699534490055015
"142","G3","G9",0.9904,0.606724555735057
"143","G3","G10",0.2336,0.336044520547945
"144","G3","G11",0.271,0.384870848708487
"145","G4","S1",0.0584,0.183219178082192
"146","G4","S2",0.0716,0.755586592178771
"147","G4","S3",0.0076,0.315789473684211
"148","G4","S4",0.0482,0.701244813278008
"149","G4","S5",0.3402,0.378306878306878
"150","G4","S6",0.4992,0.258012820512821
"151","G4","G1",0.751,0.217709720372836
"152","G4","G2",0.5408,0.216900887573965
"153","G4","G3",0.9996,0.153261304521809
"154","G4","G5",0.486,0.560082304526749
"155","G4","G6",0.3674,0.278170930865542
"156","G4","G7",0.1986,0.357502517623363
"157","G4","G8",0.0888,0.459459459459459
"158","G4","G9",0.3446,0.391468369123622
"159","G4","G10",0.247,0.167206477732794
"160","G4","G11",0.6656,0.138371394230769
"161","G5","S1",0.009,0.366666666666667
"162","G5","S2",0.0704,0.397727272727273
"163","G5","S3",0.0202,0.613861386138614
"164","G5","S4",0.0272,0.441176470588235
"165","G5","S5",0.045,0.302222222222222
"166","G5","S6",0.0962,0.463617463617464
"167","G5","G1",0.4776,0.313442211055276
"168","G5","G2",0.3366,0.271836007130125
"169","G5","G3",0.3648,0.29797149122807
"170","G5","G4",0.486,0.439917695473251
"171","G5","G6",0.7202,0.253401832824216
"172","G5","G7",0.1248,0.338141025641026
"173","G5","G8",1,0.6197
"174","G5","G9",0.8612,0.331630283325592
"175","G5","G10",0.2278,0.225636523266023
"176","G5","G11",0.7204,0.209744586340922
"177","G6","S1",0.0112,0.205357142857143
"178","G6","S2",0.0208,0.298076923076923
"179","G6","S3",0.3558,0.389263631253513
"180","G6","S4",0.0482,0.487551867219917
"181","G6","S5",0.046,0.36304347826087
"182","G6","S6",0.1724,0.445475638051044
"183","G6","G1",0.944,0.564300847457627
"184","G6","G2",0.5158,0.460837533927879
"185","G6","G3",0.96,0.500625
"186","G6","G4",0.3674,0.721829069134458
"187","G6","G5",0.7202,0.746598167175785
"188","G6","G7",0.715,0.583776223776224
"189","G6","G8",0.1036,0.675675675675676
"190","G6","G9",0.2622,0.589244851258581
"191","G6","G10",0.8674,0.412151256629006
"192","G6","G11",0.8194,0.400781059311692
"193","G7","S1",0.0456,0.309210526315789
"194","G7","S2",0.0572,0.190559440559441
"195","G7","S3",0.041,0.278048780487805
"196","G7","S4",0.0966,0.549689440993789
"197","G7","S5",0.0314,0.471337579617834
"198","G7","S6",0.0684,0.454678362573099
"199","G7","G1",0.5658,0.463944856839873
"200","G7","G2",0.9138,0.386627270737579
"201","G7","G3",0.9234,0.467944552739874
"202","G7","G4",0.1986,0.642497482376636
"203","G7","G5",0.1248,0.661858974358974
"204","G7","G6",0.715,0.416223776223776
"205","G7","G8",0.2248,0.741103202846975
"206","G7","G9",0.1788,0.620246085011186
"207","G7","G10",0.886,0.39706546275395
"208","G7","G11",0.8706,0.334481966459913
"209","G8","S1",0.0246,0.471544715447154
"210","G8","S2",0.095,0.4
"211","G8","S3",0.1404,0.615384615384615
"212","G8","S4",0.0222,0.369369369369369
"213","G8","S5",0.4512,0.344414893617021
"214","G8","S6",0.42,0.292619047619048
"215","G8","G1",0.817,0.398531211750306
