"","symptoms","Bcent","n","Gender"
"102","S2","Bridge expect inf",-0.674239146126213,"Females"
"103","S2","Bridge strength",-0.895204732375707,"Males"
"104","S2","Bridge strength",-0.755843116201997,"Females"
"105","S3","Bridge between",-0.815857438169203,"Males"
"106","S3","Bridge between",0.890701330042452,"Females"
"107","S3","Bridge closeness",-0.589018416092447,"Males"
"108","S3","Bridge closeness",-0.0578638116529413,"Females"
"109","S3","Bridge expect inf",-0.565313677870105,"Males"
"110","S3","Bridge expect inf",-0.232140291589326,"Females"
"111","S3","Bridge strength",-0.64846086415612,"Males"
"112","S3","Bridge strength",0.552112937264953,"Females"
"113","S4","Bridge between",1.1950615835243,"Females"
"114","S4","Bridge between",1.22694839538624,"Males"
"115","S4","Bridge closeness",0.360454100079049,"Females"
"116","S4","Bridge closeness",0.711406915455601,"Males"
"117","S4","Bridge expect inf",0.106255843390602,"Females"
"118","S4","Bridge expect inf",0.769459743747987,"Males"
"119","S4","Bridge strength",-0.000763370139766562,"Females"
"120","S4","Bridge strength",0.606732285744944,"Males"
"121","S5","Bridge between",-0.783280064107684,"Females"
"122","S5","Bridge between",0.581851816368734,"Males"
"123","S5","Bridge closeness",-0.350706327890963,"Females"
"124","S5","Bridge closeness",0.593937572206039,"Males"
"125","S5","Bridge expect inf",-0.674239146126213,"Females"
"126","S5","Bridge expect inf",1.25574789862798,"Males"
"127","S5","Bridge strength",-0.755843116201997,"Females"
"128","S5","Bridge strength",1.06402754724591,"Males"
"129","S6","Bridge between",1.87987215385844,"Females"
"130","S6","Bridge between",1.97956107090667,"Males"
"131","S6","Bridge closeness",2.02877233601553,"Males"
"132","S6","Bridge closeness",2.13610289211708,"Females"
"133","S6","Bridge expect inf",2.3473737295597,"Males"
"134","S6","Bridge expect inf",3.19578173687752,"Females"
"135","S6","Bridge strength",2.55204764436218,"Males"
"136","S6","Bridge strength",2.98815835061463,"Females"
