S1,S2,S3,S4,S5,S6,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0,0.5920291885760632,0.09648352153888745,0.028924570054525135,0.08443485894172217,0,0.009792968385150178,0,0,0,0,0,0,0,0,-0.013835499680552907,0
0.5920291885760632,0,0.21039531069428383,0.10430933763814881,0.14977122539977153,0,0,0,0,0,0,0,0,0,0,0,0
0.09648352153888745,0.21039531069428383,0,0.14936160575174692,0.1637714967095872,0.0925348741287889,0,0,0,0,0,0.012839693194554306,0,0,0,0,0
0.028924570054525135,0.10430933763814881,0.14936160575174692,0,0.2511638729569955,0.10109172818324641,0.05933115626683837,0,0.014471995594400822,4.02526982120417e-4,0,0,0.0017019240869360778,0,0.0022479786019303323,0,0
0.08443485894172217,0.14977122539977153,0.1637714967095872,0.2511638729569955,0,0.18567996519940275,0,0.03183886994801547,0,0.036741540714238255,0,0,0,0.033371226672139785,0,0,0
0,0,0.0925348741287889,0.10109172818324641,0.18567996519940275,0,0.041375682929703936,0,0,0.05306849184654609,0,0.003711221423713185,0,-0.012006852410336086,0,0.06922078206393034,0
0.009792968385150178,0,0,0.05933115626683837,0,0.041375682929703936,0,0.1857887883297055,0,0.09793868715791484,0.06324462524280972,0.17404549071887593,0.0706383180906192,0.12844619425250553,0.025685625161206455,0,0.10171322085930443
0,0,0,0,0.03183886994801547,0,0.1857887883297055,0,0.11816430084610764,0.0965688893386824,0.03425137990392888,0.05449551815775814,0.18975605516628627,0.05853909542828585,0.13301270428858292,0.0361403358698798,0.11294767447162646
0,0,0,0.014471995594400822,0,0,0,0.11816430084610764,0,0.24650060195258922,0.027470771270592293,0.16726312915592711,0.126554850757812,0.05261095927631459,0.2287161724567642,0,0
0,0,0,4.02526982120417e-4,0.036741540714238255,0.05306849184654609,0.09793868715791484,0.0965688893386824,0.24650060195258922,0,0.06936326043515895,0.07706364426307842,0.046701286864126654,0,0.06350652170412634,0,0.08306369640754929
0,0,0,0,0,0,0.06324462524280972,0.03425137990392888,0.027470771270592293,0.06936326043515895,0,0.09801239140176725,0,0.31663937426755445,0.13729138709005909,0,0.09666058647335221
0,0,0.012839693194554306,0,0,0.003711221423713185,0.17404549071887593,0.05449551815775814,0.16726312915592711,0.07706364426307842,0.09801239140176725,0,0.1357358671160615,0,9.994037660690418e-4,0.15495736778972555,0.12978757344066655
0,0,0,0.0017019240869360778,0,0,0.0706383180906192,0.18975605516628627,0.126554850757812,0.046701286864126654,0,0.1357358671160615,0,0.0057179135090136834,0,0.16951891110259681,0.15089238950963516
0,0,0,0,0.033371226672139785,-0.012006852410336086,0.12844619425250553,0.05853909542828585,0.05261095927631459,0,0.31663937426755445,0,0.0057179135090136834,0,0.14936835007041294,0,0.11902762745960893
0,0,0,0.0022479786019303323,0,0,0.025685625161206455,0.13301270428858292,0.2287161724567642,0.06350652170412634,0.13729138709005909,9.994037660690418e-4,0,0.14936835007041294,0,0.14922754654530762,0.0790153417457571
-0.013835499680552907,0,0,0,0,0.06922078206393034,0,0.0361403358698798,0,0,0,0.15495736778972555,0.16951891110259681,0,0.14922754654530762,0,0.3076529997849146
0,0,0,0,0,0,0.10171322085930443,0.11294767447162646,0,0.08306369640754929,0.09666058647335221,0.12978757344066655,0.15089238950963516,0.11902762745960893,0.0790153417457571,0.3076529997849146,0
