"","from","to","strength","direction"
"130","G3","S2",0.0502,0.591633466135458
"131","G3","S3",0.0826,0.564164648910412
"132","G3","S4",0.0424,0.57311320754717
"133","G3","S5",0.079,0.650632911392405
"134","G3","S6",0.0906,0.625827814569536
"135","G3","G1",0.3408,0.411678403755869
"136","G3","G2",0.5428,0.454310980103169
"137","G3","G4",0.9064,0.539607237422771
"138","G3","G5",0.3224,0.679590570719603
"139","G3","G6",0.3922,0.666241713411525
"140","G3","G7",0.2772,0.543650793650794
"141","G3","G8",0.5322,0.721721157459602
"142","G3","G9",0.714,0.42703081232493
"143","G3","G10",0.41,0.57
"144","G3","G11",0.7212,0.521075984470327
"145","G4","S1",0.124,0.126612903225806
"146","G4","S2",0.401,0.658104738154613
"147","G4","S3",0.1172,0.497440273037543
"148","G4","S4",0.044,0.688636363636364
"149","G4","S5",0.0296,0.239864864864865
"150","G4","S6",0.1428,0.524509803921569
"151","G4","G1",0.2812,0.563655761024182
"152","G4","G2",0.9086,0.405899185560203
"153","G4","G3",0.9064,0.460392762577229
"154","G4","G5",0.7458,0.799141861088764
"155","G4","G6",0.8544,0.735252808988764
"156","G4","G7",0.2676,0.619955156950673
"157","G4","G8",0.149,0.697315436241611
"158","G4","G9",0.5092,0.466614296936371
"159","G4","G10",0.7398,0.591240875912409
"160","G4","G11",0.3606,0.559345535219079
"161","G5","S1",0.0852,0.282863849765258
"162","G5","S2",0.0672,0.619047619047619
"163","G5","S3",0.103,0.647572815533981
"164","G5","S4",0.0322,0.524844720496894
"165","G5","S5",0.039,0.402564102564103
"166","G5","S6",0.1386,0.624098124098124
"167","G5","G1",0.1264,0.382120253164557
"168","G5","G2",0.2398,0.317764804003336
"169","G5","G3",0.3224,0.320409429280397
"170","G5","G4",0.7458,0.200858138911236
"171","G5","G6",0.8948,0.431716584711667
"172","G5","G7",0.6224,0.49646529562982
"173","G5","G8",0.544,0.564154411764706
"174","G5","G9",0.2416,0.299254966887417
"175","G5","G10",0.615,0.495934959349593
"176","G5","G11",0.238,0.450840336134454
"177","G6","S1",0.2696,0.433976261127596
"178","G6","S2",0.104,0.469230769230769
"179","G6","S3",0.5042,0.545815152717176
"180","G6","S4",0.142,0.514084507042253
"181","G6","S5",0.0406,0.352216748768473
"182","G6","S6",0.2694,0.597995545657016
"183","G6","G1",0.8872,0.559963931469793
"184","G6","G2",0.5346,0.249719416386083
"185","G6","G3",0.3922,0.333758286588475
"186","G6","G4",0.8544,0.264747191011236
"187","G6","G5",0.8948,0.568283415288333
"188","G6","G7",0.5354,0.437616735151289
"189","G6","G8",0.67,0.695671641791045
"190","G6","G9",0.716,0.325698324022346
"191","G6","G10",0.6362,0.583464319396416
"192","G6","G11",0.4488,0.482174688057041
"193","G7","S1",0.1022,0.264187866927593
"194","G7","S2",0.0754,0.679045092838196
"195","G7","S3",0.038,0.452631578947368
"196","G7","S4",0.123,0.605691056910569
"197","G7","S5",0.117,0.463247863247863
"198","G7","S6",0.2892,0.568464730290456
"199","G7","G1",0.2494,0.353247794707298
"200","G7","G2",0.5284,0.377554882664648
"201","G7","G3",0.2772,0.456349206349206
"202","G7","G4",0.2676,0.380044843049327
"203","G7","G5",0.6224,0.50353470437018
"204","G7","G6",0.5354,0.562383264848711
"205","G7","G8",0.3276,0.656288156288156
"206","G7","G9",0.9128,0.315403155127082
"207","G7","G10",0.2856,0.434873949579832
"208","G7","G11",0.5276,0.444275966641395
"209","G8","S1",0.486,0.576748971193416
"210","G8","S2",0.0876,0.133561643835616
"211","G8","S3",0.0614,0.547231270358306
"212","G8","S4",0.169,0.468047337278107
"213","G8","S5",0.0736,0.521739130434783
"214","G8","S6",0.0678,0.321533923303835
"215","G8","G1",0.1478,0.469553450608931
"216","G8","G2",0.635,0.177007874015748
"217","G8","G3",0.5322,0.278278842540398
"218","G8","G4",0.149,0.302684563758389
"219","G8","G5",0.544,0.435845588235294
"220","G8","G6",0.67,0.304328358208955
"221","G8","G7",0.3276,0.343711843711844
"222","G8","G9",0.4276,0.176800748362956
"223","G8","G10",0.2234,0.447179946284691
"224","G8","G11",0.2304,0.389322916666667
"225","G9","S1",0.0372,0.379032258064516
"226","G9","S2",0.1694,0.606847697756789
"227","G9","S3",0.168,0.733333333333333
"228","G9","S4",0.0364,0.651098901098901
"229","G9","S5",0.0426,0.363849765258216
"230","G9","S6",0.066,0.684848484848485
"231","G9","G1",0.4054,0.533793783917119
"232","G9","G2",0.742,0.491105121293801
"233","G9","G3",0.714,0.57296918767507
"234","G9","G4",0.5092,0.533385703063629
"235","G9","G5",0.2416,0.700745033112583
"236","G9","G6",0.716,0.674301675977654
"237","G9","G7",0.9128,0.684596844872918
"238","G9","G8",0.4276,0.823199251637044
"239","G9","G10",0.5368,0.679023845007452
"240","G9","G11",0.9864,0.635239253852393
"241","G10","S1",0.163,0.0785276073619632
"242","G10","S2",0.1958,0.598569969356486
"243","G10","S3",0.5102,0.333006664053312
"244","G10","S4",0.2084,0.806142034548944
"245","G10","S5",0.023,0.304347826086957
"246","G10","S6",0.5898,0.565276364869447
"247","G10","G1",0.1808,0.34070796460177
"248","G10","G2",0.6238,0.421128566848349
"249","G10","G3",0.41,0.43
"250","G10","G4",0.7398,0.408759124087591
"251","G10","G5",0.615,0.504065040650406
"252","G10","G6",0.6362,0.416535680603584
"253","G10","G7",0.2856,0.565126050420168
"254","G10","G8",0.2234,0.552820053715309
"255","G10","G9",0.5368,0.320976154992549
"256","G10","G11",0.9974,0.520653699619009
"257","G11","S1",0.0674,0.400593471810089
"258","G11","S2",0.0944,0.609110169491525
"259","G11","S3",0.1002,0.37125748502994
"260","G11","S4",0.224,0.788392857142857
"261","G11","S5",0.1342,0.529061102831595
"262","G11","S6",0.6686,0.850583308405624
"263","G11","G1",0.305,0.319016393442623
"264","G11","G2",0.4312,0.403061224489796
"265","G11","G3",0.7212,0.478924015529673
"266","G11","G4",0.3606,0.440654464780921
"267","G11","G5",0.238,0.549159663865546
"268","G11","G6",0.4488,0.517825311942959
"269","G11","G7",0.5276,0.555724033358605
"270","G11","G8",0.2304,0.610677083333333
"271","G11","G9",0.9864,0.364760746147607
"272","G11","G10",0.9974,0.479346300380991
