"","graph","type","node","measure","value","Gender"
"80","graph 1",NA,"G8","ExpectedInfluence",-0.297847740912517,"Males"
"81","graph 1",NA,"G9","Betweenness",-0.409052723559253,"Males"
"82","graph 1",NA,"G9","Betweenness",0.892071066398739,"Females"
"83","graph 1",NA,"G9","Closeness",0.583185679098269,"Males"
"84","graph 1",NA,"G9","Closeness",1.51792808712381,"Females"
"85","graph 1",NA,"G9","Strength",0.448191832793388,"Males"
"86","graph 1",NA,"G9","Strength",1.60392258290679,"Females"
"87","graph 1",NA,"G9","ExpectedInfluence",0.473167297634582,"Males"
"88","graph 1",NA,"G9","ExpectedInfluence",1.62148484048282,"Females"
"89","graph 1",NA,"S1","Betweenness",-1.08201043005996,"Males"
"90","graph 1",NA,"S1","Betweenness",-0.800789375883519,"Females"
"91","graph 1",NA,"S1","Closeness",-1.95677317839195,"Males"
"92","graph 1",NA,"S1","Closeness",-1.79428400735299,"Females"
"93","graph 1",NA,"S1","Strength",-0.5276390923896,"Males"
"94","graph 1",NA,"S1","Strength",-0.122680602877403,"Females"
"95","graph 1",NA,"S1","ExpectedInfluence",-0.651857643847925,"Males"
"96","graph 1",NA,"S1","ExpectedInfluence",-0.0788770448380565,"Females"
"97","graph 1",NA,"S2","Betweenness",-0.0248950065041509,"Females"
"98","graph 1",NA,"S2","Betweenness",0.600383836191807,"Males"
"99","graph 1",NA,"S2","Closeness",-1.65412035657615,"Males"
"100","graph 1",NA,"S2","Closeness",-1.52916277605301,"Females"
"101","graph 1",NA,"S2","Strength",0.48943050571139,"Females"
"102","graph 1",NA,"S2","Strength",1.04247043639818,"Males"
"103","graph 1",NA,"S2","ExpectedInfluence",0.523931062546023,"Females"
"104","graph 1",NA,"S2","ExpectedInfluence",1.047592944163,"Males"
"105","graph 1",NA,"S3","Betweenness",-1.08201043005996,"Males"
"106","graph 1",NA,"S3","Betweenness",0.892071066398739,"Females"
"107","graph 1",NA,"S3","Closeness",-1.35761493243092,"Males"
"108","graph 1",NA,"S3","Closeness",-0.709984720317176,"Females"
"109","graph 1",NA,"S3","Strength",-1.20810263750564,"Males"
"110","graph 1",NA,"S3","Strength",-0.434852204487048,"Females"
"111","graph 1",NA,"S3","ExpectedInfluence",-1.12779564495131,"Males"
"112","graph 1",NA,"S3","ExpectedInfluence",-0.742785955136669,"Females"
"113","graph 1",NA,"S4","Betweenness",1.04902230719228,"Males"
"114","graph 1",NA,"S4","Betweenness",1.24475032520754,"Females"
"115","graph 1",NA,"S4","Closeness",-0.656430163790325,"Males"
"116","graph 1",NA,"S4","Closeness",-0.339672645305117,"Females"
"117","graph 1",NA,"S4","Strength",-1.29224669091183,"Males"
"118","graph 1",NA,"S4","Strength",0.00605867577424971,"Females"
"119","graph 1",NA,"S4","ExpectedInfluence",-1.20912871329027,"Males"
"120","graph 1",NA,"S4","ExpectedInfluence",0.0479056255318883,"Females"
"121","graph 1",NA,"S5","Betweenness",-0.941861079407041,"Females"
"122","graph 1",NA,"S5","Betweenness",0.712543453941925,"Males"
"123","graph 1",NA,"S5","Closeness",-1.10480494533524,"Females"
"124","graph 1",NA,"S5","Closeness",-0.513952736791315,"Males"
"125","graph 1",NA,"S5","Strength",-0.919821309736966,"Females"
"126","graph 1",NA,"S5","Strength",0.22866637773713,"Males"
"127","graph 1",NA,"S5","ExpectedInfluence",-0.863902629373933,"Females"
"128","graph 1",NA,"S5","ExpectedInfluence",0.26097548947385,"Males"
"129","graph 1",NA,"S6","Betweenness",1.52689373225459,"Females"
"130","graph 1",NA,"S6","Betweenness",1.8341396314431,"Males"
"131","graph 1",NA,"S6","Closeness",-0.124349202074882,"Males"
"132","graph 1",NA,"S6","Closeness",0.483030212275175,"Females"
"133","graph 1",NA,"S6","Strength",-2.34112146598445,"Males"
"134","graph 1",NA,"S6","Strength",-1.43289047964549,"Females"
"135","graph 1",NA,"S6","ExpectedInfluence",-2.38072958354595,"Males"
"136","graph 1",NA,"S6","ExpectedInfluence",-1.3691740595604,"Females"
